Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-02-04,Another Round,2020,https://boxd.it/3ObV4Z,,,,2023-02-04
2023-02-04,Bullet Train,2022,https://boxd.it/3OedMf,,,,2023-02-04
2023-02-05,GoodFellas,1990,https://boxd.it/3OsixH,,,,2023-02-04
2023-02-06,Raging Bull,1980,https://boxd.it/3OK82v,,,,2023-02-05
2023-02-06,Blade Runner 2049,2017,https://boxd.it/3OP7xn,,Yes,,2023-02-05
2023-02-07,Rashomon,1950,https://boxd.it/3P64Mt,,,,2023-02-06
2023-02-08,Nope,2022,https://boxd.it/3PsJP3,,,,2023-02-08
2023-02-08,Piggy,2022,https://boxd.it/3Puqpp,,,,2023-02-08
2023-02-11,Rashomon,1950,https://boxd.it/3Q5kdB,,Yes,,2023-02-10
2023-02-12,Good Time,2017,https://boxd.it/3QhAFb,,,,2023-02-11
2023-02-15,Loveless,2017,https://boxd.it/3RdQZn,,Yes,,2023-02-14
2023-02-15,Zoolander,2001,https://boxd.it/3Rgxdb,,,,2023-02-15
2023-02-16,GoodFellas,1990,https://boxd.it/3RvklV,,Yes,,2023-02-15
2023-02-22,Nightcrawler,2014,https://boxd.it/3TjyJV,,,,2023-02-22
2023-02-24,Bodies Bodies Bodies,2022,https://boxd.it/3TMEeR,,,,2023-02-23
2023-03-04,Taxi Driver,1976,https://boxd.it/3VWEin,,Yes,,2023-03-03
2023-03-11,The Godfather,1972,https://boxd.it/3XUc5p,,Yes,,2023-03-10
2023-03-13,The Godfather,1972,https://boxd.it/3YzBaV,,Yes,,2023-03-12
2023-03-14,The Glory,2022,https://boxd.it/3YT2d1,,,,2023-03-14
2023-03-16,20th Century Girl,2022,https://boxd.it/3ZpEfX,,,,2023-03-16
2023-03-19,Pearl,2022,https://boxd.it/400ItX,,,,2023-03-18
2023-03-19,Frankie and Johnny,1991,https://boxd.it/402gHr,,,,2023-03-18
2023-03-19,Weak Hero Class 1,2022,https://boxd.it/40bZAD,,,,2023-03-19
2023-03-21,Shiva Baby,2020,https://boxd.it/40NYIx,,,,2023-03-20
2023-03-23,Citadel,2021,https://boxd.it/41csUV,,,,2023-03-22
2023-04-01,The Monastery,2022,https://boxd.it/43xzVr,,,,2023-03-31
2023-04-02,Missing,2021,https://boxd.it/43LXgP,,,,2023-04-01
2023-04-24,Inglourious Basterds,2009,https://boxd.it/49Xm5N,,,,2023-04-23
2023-04-25,Close,2022,https://boxd.it/4a9VN5,,,,2023-04-24
2023-04-27,Ryuichi Sakamoto: Coda,2017,https://boxd.it/4aGBp9,,,,2023-04-26
2023-04-29,Flights in Dreams and in Reality,1982,https://boxd.it/4baTuB,,,,2023-04-28
2023-05-01,The Godfather: Part II,1974,https://boxd.it/4bO3rZ,,Yes,,2023-04-30
2023-05-02,BEEF,2023,https://boxd.it/4bYoGV,,,,2023-05-01
2023-05-03,The Worst Person in the World,2021,https://boxd.it/4clywn,,,,2023-05-02
2023-05-06,Return to Seoul,2022,https://boxd.it/4d8Hvh,,,,2023-05-05
2023-05-28,Easy Rider,1969,https://boxd.it/4iBgWN,,,,2023-05-27
2023-06-03,Belle de Jour,1967,https://boxd.it/4k6nyp,,,,2023-06-02
2023-06-04,Bones and All,2022,https://boxd.it/4kh7Sl,,,,2023-06-03
2023-06-06,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4l1fOt,,,,2023-06-05
2023-06-08,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/4lxMbX,,Yes,,2023-06-07
2023-06-13,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4mVGvf,,Yes,,2023-06-12
2023-06-18,Puss in Boots: The Last Wish,2022,https://boxd.it/4oaemN,,,,2023-06-17
2023-06-18,Meeting the Man: James Baldwin in Paris,1970,https://boxd.it/4odomJ,,,,2023-06-17
2023-06-19,Taxi Driver,1976,https://boxd.it/4oyYQx,,Yes,,2023-06-18
2023-06-22,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4ppPJj,,Yes,,2023-06-21
2023-07-10,Where Is the Friend's House?,1987,https://boxd.it/4uGkyj,,,at home <3,2023-07-09
2023-07-11,The King of Comedy,1982,https://boxd.it/4v1A2P,,,at home <3,2023-07-10
2023-07-12,Stalker,1979,https://boxd.it/4vdqwT,,,,2023-07-11
2023-07-14,Dima Gavrilov: STAND-UPOCALYPSE,2023,https://boxd.it/4w0HKh,,,at home <3,2023-07-14
2023-08-05,Taste of Cherry,1997,https://boxd.it/4DTs6f,,,,2023-08-04
2023-08-08,Closeness,2017,https://boxd.it/4EZELF,5,Yes,,2023-08-07
2023-08-11,Afonya,1975,https://boxd.it/4FVtBZ,4.5,,,2023-08-10
2023-09-08,Solaris,1972,https://boxd.it/4OByCz,5,,,2023-09-07
2023-09-17,Unclenching the Fists,2021,https://boxd.it/4R7Xt5,5,Yes,,2023-09-16
2023-10-09,A Little Life,2023,https://boxd.it/4XOzkN,3,,,2023-10-08
2023-10-16,Moscow Does Not Believe in Tears,1980,https://boxd.it/507cz7,5,,,2023-10-15
2023-10-29,Coraline,2009,https://boxd.it/54rTiJ,,Yes,,2023-10-28
2023-10-29,The Rocky Horror Picture Show,1975,https://boxd.it/54uEdv,,,,2023-10-29
2023-11-04,Bottoms,2023,https://boxd.it/56E6SR,4,,,2023-11-03
2023-11-08,The Secret of the Third Planet,1981,https://boxd.it/57XIK9,4.5,Yes,,2023-11-07
2023-11-23,Weak Hero Class 1,2022,https://boxd.it/5cF6vJ,4.5,Yes,,2023-11-22
2023-11-27,Kids Return,1996,https://boxd.it/5dXf1D,4,,,2023-11-26
2023-12-03,Saltburn,2023,https://boxd.it/5g6ZC7,3,,,2023-12-02
2023-12-04,Dead Man's Bluff,2005,https://boxd.it/5gw4lP,3.5,,,2023-12-03
2023-12-21,Express,2022,https://boxd.it/5mzxNN,3.5,,at home <3,2023-12-21
2023-12-22,Mirror,1975,https://boxd.it/5mMIM3,,,"at home <3, in cinema",2023-12-21
2023-12-31,Moscow Does Not Believe in Tears,1980,https://boxd.it/5rxiZF,5,Yes,"at home <3, w/mom",2023-12-30
2023-12-31,Office Romance,1977,https://boxd.it/5rYSrX,5,Yes,"at home <3, w/mom",2023-12-31
2024-01-01,The Girls,1962,https://boxd.it/5s3izr,,Yes,"at home <3, w/mom",2023-12-31
2024-01-01,"The Irony of Fate, or Enjoy Your Bath!",1975,https://boxd.it/5s3rul,5,Yes,"at home <3, w/mom",2023-12-31
2024-01-01,Ivan Vasilyevich Changes His Profession,1973,https://boxd.it/5sbOGP,5,Yes,"at home <3, w/mom",2023-12-31
2024-01-01,The Most Charming and Attractive,1985,https://boxd.it/5sh7wz,5,Yes,"at home <3, w/mom",2024-01-01
2024-01-02,Mimino,1977,https://boxd.it/5sJa3h,5,Yes,"at home <3, w/mom",2024-01-01
2024-01-02,Carnival,1981,https://boxd.it/5sOEZb,4,Yes,"at home <3, w/mom",2024-01-01
2024-01-14,Poor Things,2023,https://boxd.it/5A7PI7,2,,,2024-01-13
